numer_sta;date;pmer;tend;cod_tend;dd;ff;t;vv;ww
07577;20130128090000;nan;246.79857142857142;-2.197142857142857;55.254285714285714;-0.23428571428571443;-3.7128571428571604;nan;nan
07591;20130128090000;nan;239.65571428571428;-2.197142857142857;65.25428571428571;-0.16285714285714326;-3.998571428571438;nan;nan
07607;20130128090000;nan;241.08428571428573;-2.34;69.53999999999999;0.7942857142857145;-3.741428571428571;nan;4.4085714285714275
07621;20130128090000;nan;248.22714285714287;-2.4828571428571427;29.539999999999992;-0.0771428571428574;-2.7128571428571604;nan;4.694285714285716
07627;20130128090000;nan;259.6557142857143;-2.4828571428571427;69.53999999999999;0.9514285714285711;-2.412857142857149;nan;4.694285714285716
07630;20130128090000;609.622857142851;243.9414285714286;-2.6257142857142854;62.39714285714285;2.4942857142857147;-1.1128571428571377;nan;nan
07643;20130128090000;408.1942857142858;228.22714285714287;-2.6257142857142854;73.82571428571427;2.637142857142857;-1.4700000000000273;nan;nan
07650;20130128090000;328.1942857142858;226.79857142857142;-2.6257142857142854;83.82571428571427;3.451428571428571;-1.0271428571428487;nan;nan
07661;20130128090000;79.62285714285099;172.51285714285714;-1.9114285714285715;50.96857142857141;3.38;-0.6128571428571377;nan;nan
07690;20130128090000;-124.66285714285914;133.9414285714286;-1.197142857142857;59.53999999999999;2.3514285714285714;-0.584285714285727;nan;nan
07747;20130128090000;-190.377142857149;nan;nan;92.39714285714282;2.194285714285715;1.6157142857142617;nan;nan
07761;20130128090000;-220.377142857149;nan;nan;89.53999999999999;0.9371428571428568;4.758571428571429;nan;nan
07790;20130128090000;-171.8057142857142;nan;nan;72.39714285714285;0.137142857142857;7.658571428571406;nan;nan
61968;20130128090000;-186.09142857143888;nan;nan;45.254285714285714;0.6514285714285712;11.101428571428585;nan;nan
61970;20130128090000;-296.0914285714389;nan;nan;12.397142857142853;0.6514285714285712;14.03000000000003;nan;nan
61972;20130128090000;8.194285714285797;nan;nan;42.39714285714285;0.7228571428571424;15.601428571428585;nan;nan
61976;20130128090000;-347.5200000000041;nan;nan;36.68285714285713;1.8942857142857141;15.615714285714262;nan;nan
61980;20130128090000;-434.66285714285914;nan;nan;45.254285714285714;3.3657142857142857;14.05857142857144;nan;nan
61996;20130128090000;-434.66285714285914;nan;nan;50.96857142857141;3.437142857142857;14.187142857142874;nan;nan
61997;20130128090000;-503.23428571429395;nan;nan;66.68285714285713;4.165714285714286;9.301428571428573;nan;nan
61998;20130128090000;-384.66285714285914;nan;nan;82.39714285714282;3.137142857142857;7.844285714285718;nan;nan
67005;20130128090000;-318.94857142856927;nan;nan;nan;nan;7.1299999999999955;nan;nan
71805;20130128090000;-487.5200000000041;nan;nan;nan;nan;7.644285714285729;nan;nan
78897;20130128090000;-70.37714285714901;nan;nan;nan;nan;9.944285714285684;nan;nan
78922;20130128090000;25.33714285714086;nan;nan;nan;nan;11.501428571428562;nan;nan
78925;20130128090000;38.1942857142858;nan;nan;nan;nan;10.458571428571418;nan;nan
81401;20130128090000;-217.52000000000407;nan;nan;nan;nan;11.258571428571429;nan;nan
81405;20130128090000;-256.0914285714389;nan;nan;nan;nan;9.529999999999973;nan;nan
81408;20130128090000;-291.8057142857142;nan;nan;-23.31714285714287;-0.8200000000000003;7.001428571428562;nan;nan
89642;20130128090000;-346.0914285714389;nan;nan;-0.46000000000000796;0.28000000000000025;4.829999999999984;nan;nan
07005;20130128120000;-314.66285714285914;nan;nan;18.111428571428576;1.3085714285714287;2.658571428571406;nan;nan
07015;20130128120000;-273.23428571429395;nan;nan;45.254285714285714;1.6799999999999997;0.14428571428572923;nan;nan
07020;20130128120000;-206.09142857143888;75.37;-1.9114285714285715;29.539999999999992;2.194285714285714;-2.512857142857115;13471.608571428573;-11.02
07027;20130128120000;128.1942857142858;76.79857142857144;-1.7685714285714282;46.68285714285713;3.437142857142857;-1.1842857142856928;8900.18;-11.02
07037;20130128120000;101.05142857143073;38.22714285714285;-0.9114285714285715;46.68285714285713;3.8085714285714287;-0.9414285714285597;6328.751428571428;-11.162857142857142
07072;20130128120000;141.05142857143073;12.512857142857143;-1.0542857142857143;39.53999999999999;3.6657142857142855;-0.7128571428571604;4757.322857142859;-11.59142857142857
07110;20130128120000;209.622857142851;36.79857142857143;-2.197142857142857;38.111428571428576;2.637142857142857;-0.7414285714285711;4471.608571428573;-11.59142857142857
07117;20130128120000;248.1942857142858;61.084285714285706;-2.0542857142857143;40.96857142857141;2.194285714285714;-0.7985714285714494;3757.322857142859;-11.59142857142857
07130;20130128120000;291.05142857143073;78.22714285714287;-1.9114285714285715;42.39714285714285;2.1085714285714285;-1.0271428571428487;1614.465714285714;-11.448571428571428
07139;20130128120000;311.05142857143073;79.6557142857143;-1.9114285714285715;36.68285714285713;2.337142857142857;-1.4842857142857042;2471.6085714285728;-11.448571428571428
07149;20130128120000;373.9085714285611;106.79857142857144;-2.911428571428571;32.39714285714285;1.3085714285714287;-1.9557142857142935;3185.8942857142865;-11.734285714285713
07168;20130128120000;455.33714285714086;133.9414285714286;-3.6257142857142854;36.68285714285713;1.6085714285714285;-1.7985714285714494;3043.0371428571416;-11.59142857142857
07181;20130128120000;491.05142857143073;148.22714285714287;-3.4828571428571427;39.53999999999999;1.5228571428571422;-1.5699999999999932;2900.1800000000003;-11.59142857142857
07190;20130128120000;528.1942857142858;161.08428571428573;-3.4828571428571427;43.82571428571427;1.5942857142857143;-1.4700000000000273;4185.8942857142865;-11.877142857142857
07207;20130128120000;572.4799999999959;163.9414285714286;-3.4828571428571427;50.96857142857141;1.451428571428571;-1.4842857142857042;4900.18;-11.877142857142857
07222;20130128120000;588.1942857142858;159.65571428571428;-3.4828571428571427;43.82571428571427;0.8657142857142857;-1.6414285714285484;3328.751428571428;-12.305714285714286
07240;20130128120000;591.0514285714307;145.37;-3.4828571428571427;62.39714285714285;0.19428571428571395;-1.0985714285714039;1614.465714285714;-12.02
07255;20130128120000;652.4799999999959;151.08428571428573;-3.4828571428571427;66.68285714285713;0.3514285714285714;-0.5128571428571149;1185.8942857142865;-11.734285714285713
07280;20130128120000;693.9085714285611;162.51285714285714;-3.6257142857142854;63.82571428571427;-0.4628571428571431;-0.6128571428571377;nan;-11.877142857142857
07299;20130128120000;736.765714285706;176.79857142857142;-3.6257142857142854;69.53999999999999;-0.6057142857142859;-1.0699999999999932;nan;-11.734285714285713
07314;20130128120000;753.9085714285611;181.08428571428573;-3.4828571428571427;80.96857142857144;-0.6057142857142859;-1.1557142857142821;nan;-11.59142857142857
07335;20130128120000;nan;181.08428571428573;-3.4828571428571427;83.82571428571427;-0.30571428571428605;-1.7271428571428373;nan;-11.877142857142857
07434;20130128120000;nan;179.65571428571428;-3.4828571428571427;103.82571428571427;-0.30571428571428605;-1.670000000000016;nan;-8.877142857142857
07460;20130128120000;nan;173.9414285714286;-3.6257142857142854;93.82571428571427;0.2942857142857145;-0.7557142857143049;nan;-9.02
07471;20130128120000;nan;179.65571428571428;-3.6257142857142854;102.39714285714282;-0.2200000000000002;-0.9557142857142935;nan;nan
07481;20130128120000;nan;198.22714285714287;-3.197142857142857;116.68285714285716;0.43714285714285683;-1.7985714285714494;nan;nan
07510;20130128120000;nan;193.9414285714286;-3.197142857142857;82.39714285714282;0.8799999999999999;-1.5699999999999932;nan;nan
07535;20130128120000;nan;183.9414285714286;-3.197142857142857;69.53999999999999;0.5942857142857143;-1.9557142857142935;nan;nan
07558;20130128120000;nan;171.08428571428573;-3.197142857142857;63.82571428571427;0.508571428571428;-0.7842857142857156;nan;nan
07577;20130128120000;nan;161.08428571428573;-3.34;53.82571428571427;1.1799999999999997;-0.2699999999999818;nan;nan
07591;20130128120000;nan;169.65571428571428;-3.34;56.68285714285713;1.1799999999999997;-0.7128571428571604;nan;nan
07607;20130128120000;nan;166.79857142857142;-3.4828571428571427;56.68285714285713;1.9085714285714284;-0.6271428571428714;nan;nan
07621;20130128120000;nan;148.22714285714287;-3.7685714285714287;56.68285714285713;2.2800000000000002;0.5728571428571172;nan;nan
07627;20130128120000;nan;139.65571428571428;-3.9114285714285715;99.53999999999999;3.451428571428571;0.9014285714285393;nan;nan
07630;20130128120000;743.9085714285611;145.37;-3.9114285714285715;109.53999999999999;4.922857142857143;1.829999999999984;nan;nan
07643;20130128120000;555.3371428571409;156.79857142857142;-3.9114285714285715;115.25428571428571;4.408571428571428;1.3728571428571286;nan;nan
07650;20130128120000;476.76571428570605;153.9414285714286;-3.9114285714285715;122.39714285714282;5.137142857142858;1.67285714285714;nan;nan
07661;20130128120000;206.76571428570605;126.79857142857142;-2.7685714285714287;112.39714285714282;5.208571428571429;1.8585714285713948;12900.18;-5.448571428571428
07690;20130128120000;-14.662857142859139;106.79857142857144;-2.7685714285714287;116.68285714285716;4.5514285714285725;1.6442857142857292;12043.037142857142;3.265714285714285
07747;20130128120000;-153.23428571429395;nan;nan;109.53999999999999;3.451428571428572;3.9728571428571513;nan;nan
07761;20130128120000;-226.09142857143888;nan;nan;105.25428571428571;1.8371428571428572;6.67285714285714;nan;nan
07790;20130128120000;-216.09142857143888;nan;nan;89.53999999999999;0.7228571428571424;8.758571428571429;nan;nan
61968;20130128120000;-287.5200000000041;nan;nan;65.25428571428571;1.6085714285714285;11.872857142857129;nan;nan
61970;20130128120000;-430.377142857149;nan;nan;32.39714285714285;1.1657142857142855;14.572857142857117;nan;nan
61972;20130128120000;-118.94857142856927;nan;nan;42.39714285714285;0.7228571428571424;15.930000000000007;nan;nan
